"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,5,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,1447,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,18352,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,174283,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,64470,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,385880,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,8261.000000000002,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,5813,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,2194502,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,24082402.000000004,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,48418147,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,26366002,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,2194600,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,8859108,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,277025127,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,11671018.000000002,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,62778,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,442623.99999999994,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,878329.9999999999,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,740820,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,86384,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,585117,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,83310,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,227079,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,55849,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,91762,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,235048,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,9017.999999999998,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,59016,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,171819.99999999997,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,5835889,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,188,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,29383,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,798,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,94328,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,7375574,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,190149,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,74045,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,551602,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,227.00000000000003,2023
