"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,11704066,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,569501842,2023
"Live animals",101,"Pigs",10103,"Animal Products",1,4684368,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,51425,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,116033091,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,2095402.0000000002,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,975675331,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,8563419732.999999,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,2640265675,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,1688738,2023
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,11812342.000000002,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,439584969,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,8984861117,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,100871,2023
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,4052039,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,482315436,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,6764553,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,61018238,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,123476077,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,29152317,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,75844517,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,84613122,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,915677,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,895228.9999999999,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,22522885,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,33282417,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,1726357,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,4054800,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,3920433,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,18214566,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,160756595,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,29187098,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,85846037,2023
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,6010722,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1163575,2023
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,30413.999999999996,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,289339181,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,10747897,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,8641456,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,6906270,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,904.9999999999999,2023
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,240735295,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,276202236,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,6072123,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,7263350,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,1164074,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,2091271,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,6898228,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,1556541,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,2792634,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,1391668,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,841168,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,1404265,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,232375,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,830628,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,4881405,2023
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,1730460,2023
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,1697101,2023
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,3832626.9999999995,2023
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,133561360,2023
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,20595603,2023
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,96565575,2023
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,11920216,2023
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,30488264,2023
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,426482626,2023
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,191855492,2023
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,193382028,2023
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,344932867,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,31501291,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,515389,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,9517548,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,14449385,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,1060539,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,3007052,2023
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,942603,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,7833661180,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,2069717,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,89557167,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,278315013,2023
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,38151,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,109135,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,3666624,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1083242,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,319402,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,81348774,2023
"Cereals",210,"Wheat",21001,"Vegetable Products",2,923773378,2023
"Cereals",210,"Rye",21002,"Vegetable Products",2,10917,2023
"Cereals",210,"Barley",21003,"Vegetable Products",2,1862639,2023
