"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,705360903,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,54745069,2023
"Live animals",101,"Pigs",10103,"Animal Products",1,421517852,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,434666,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,2050035,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,40872097,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,77973,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,13393599,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,153984986,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,17214039,2023
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,4841423,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,6671878,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,800980467,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,62339049,2023
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,738098,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,13090065,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,767660973,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,258753961,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,1957558720,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,3222431035,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,397115166,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,824784146,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,2256276091,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,46745467,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,26878764,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,148057764,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,16979686,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,4948288,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,10792944,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,4417488,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,277128086,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,43383561,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,225662788,2023
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,37074688,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,2151216,2023
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,40969632,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,869414979,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,602596853,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,2391201,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,20984238,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,10875506,2023
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,9552203,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,202699559,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,9393012,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,298735030,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,165951154,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,86048833,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,249285163,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,148000060,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,3002109989,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,760115237,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,193790136,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,441293068,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,45673840,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,202527154,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,1123121541,2023
