"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,2487336,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,2858502,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,9666410,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,1321036,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,2046048,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,20247264,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,13593,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,56154816,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,1709945,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,197480,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,15720.999999999998,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,321791,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,48376,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,419,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,6730,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,61,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,92779,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,39752,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,85,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,98807,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,217985,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,371,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,9225,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,858,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,206550,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,570208,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,4991.000000000001,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,142715,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,222910.99999999997,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,17484,2023
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,580413,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,624393,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,19405,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,27395129,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,257658130,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,9876678,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,15485743,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,8028503.999999999,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,5626924,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,442261.00000000006,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,4634819,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,5223201,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,7940,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,3327521,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,187101953,2023
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,5057522,2023
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,2337,2023
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,10951834,2023
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,333965024,2023
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,2232662,2023
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,123479,2023
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,6172417,2023
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,2000742,2023
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,536693,2023
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,36073,2023
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,918717,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,621.0000000000001,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,18757,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,6078738,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,11310,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,605766.9999999999,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,759,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,1275044472,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,2539553,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,4030.0000000000005,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,1488954,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,2531,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,11,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,134537,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,2052069,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,4488841,2023
"Cereals",210,"Wheat",21001,"Vegetable Products",2,1333656,2023
"Cereals",210,"Rye",21002,"Vegetable Products",2,1773.0000000000002,2023
"Cereals",210,"Barley",21003,"Vegetable Products",2,265138,2023
"Cereals",210,"Oats",21004,"Vegetable Products",2,38936,2023
"Cereals",210,"Corn",21005,"Vegetable Products",2,145819.99999999997,2023
"Cereals",210,"Rice",21006,"Vegetable Products",2,116182,2023
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,78497.99999999999,2023
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,5905528,2023
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,23448,2023
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,2450454,2023
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,26165,2023
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,1221810,2023
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,16993,2023
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,940594,2023
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,220303,2023
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,2417,2023
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,3,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,134679118,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,393313.00000000006,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,2902,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,2991,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,24142,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,271115296,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,14282729,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,5863728,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,180332,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,7793772,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,14922,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,10060,2023
