"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,261185,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,482755,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,7326182,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,793702,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,1927834.0000000002,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,125771919,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,3238899515,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,383515,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,83076078,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,251970869,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,8935125,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,3351,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,18232446,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,5039232,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,69744076,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,715466784,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,272878742,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,48855972.00000001,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,4588109480,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,803875801,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,5259339,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,12967597,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,17994910,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,2927838,2023
