"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,1,2023
"Live animals",101,"Pigs",10103,"Animal Products",1,20668095,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,1196144,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,8060378,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,342322,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,274262,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,855,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,49267,2023
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,2510,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,70564,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,1360143,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,14047320,2023
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,1177.0000000000002,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,4695492,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,86942427,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,139774488,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,493556435,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,729284566,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,154150818,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,1339401466,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,758459962,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,54523963,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,12284699,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,24260695,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,21752875,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,118235,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,506697,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,11529571,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,3379202,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,46025,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,877214,2023
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,647911062,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1193931,2023
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,565,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,40580,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,7492250,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,1417071,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,815610.0000000001,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,18960455,2023
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,1157342,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,21778392,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,1905851,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,12567998,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,8176196,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,4289041,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,882205.9999999999,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,358157,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,12625607,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,10845514,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,1593293,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,143682,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,27285,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,5217716,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,6672515,2023
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,28663918,2023
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,485493,2023
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,10216332,2023
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,38960961,2023
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,21728446,2023
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,356186435,2023
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,167642333,2023
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,9028193,2023
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,136380518,2023
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,1285080,2023
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,170173,2023
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,616460,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,113604,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,109368.99999999999,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,7838073,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,21181526,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,3734,2023
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,9972833,2023
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,27992,2023
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,1047709603,2023
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,84648028,2023
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,41143,2023
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,145274263,2023
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,17308854,2023
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,136466707,2023
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,98213285,2023
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,258856319,2023
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,911052,2023
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,46215950,2023
"Cereals",210,"Wheat",21001,"Vegetable Products",2,1281805,2023
"Cereals",210,"Rye",21002,"Vegetable Products",2,57,2023
"Cereals",210,"Barley",21003,"Vegetable Products",2,7964,2023
"Cereals",210,"Oats",21004,"Vegetable Products",2,2756,2023
"Cereals",210,"Corn",21005,"Vegetable Products",2,33219979,2023
"Cereals",210,"Rice",21006,"Vegetable Products",2,3451638,2023
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,7.999999999999999,2023
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,27605,2023
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,28102123,2023
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,1762637,2023
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,481809,2023
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,2284867,2023
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,808525,2023
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,24722105,2023
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,931,2023
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,121441082,2023
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,1616017,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,1691661,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,4354097,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,33608017,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,2205,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,259,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,17403,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,11524976,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,20440,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,16862922,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,631,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,73510415,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,370661417,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,124070,2023
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,88424,2023
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,59632404,2023
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,164985939,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,9869087,2023
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,535046551.00000006,2023
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,210794,2023
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,33372,2023
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,256013,2023
"Animal or vegetable fats, oils, & waxes",315,"Fish Oil",31504,"Animal and Vegetable Bi-Products",3,3668791,2023
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,6977,2023
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,2560,2023
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,73379389,2023
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,322883,2023
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,43802,2023
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,140427,2023
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,24397583972,2023
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,3958571.9999999995,2023
