"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,114,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,106884,2023
"Live animals",101,"Pigs",10103,"Animal Products",1,18347,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,7835.000000000001,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,379122,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,93586,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,40.99999999999999,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,33,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,5881,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,34698,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,988,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,530,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,948083,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,16727,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,64261,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,137505,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,3108883.0000000005,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,82325002,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,797582,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,76824,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,52104,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,4186028,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,824604,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,16489,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,44395,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,5475,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,218024,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,436,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,67267,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,18268,2023
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,883,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,1566,2023
