"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,241008.00000000003,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,60989.99999999999,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,26708,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,2294251,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,1158742,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,425170068,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,20451530,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,6756,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,63195379,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,13718595,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,2894790,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,3010487,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,11335545,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,985320,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,51753365,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,209239517,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,27321505,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,7222116,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,147331900,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,134156684,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,5179022.999999999,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,5821822,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,5840297,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,2861761,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,13794,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,3202260,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,43074,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,21843923,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,1180123,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,10459249,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,6907356,2023
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,4083.9999999999995,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,37301747,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,9816317.999999998,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,23700441,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,763906,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,46455,2023
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,161876,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,529834,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,580310,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,941895,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,1831655,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,226684,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,170591858,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,8029121,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,69537633,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,21796252,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,7333,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,1452095,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,181017,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,2588085,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,10968969,2023
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,3112433,2023
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,1425444,2023
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,5391891,2023
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,10354453,2023
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,1550180,2023
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,187375,2023
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,19145850,2023
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,27725795,2023
