"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,3410584,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,55635829.00000001,2023
"Live animals",101,"Pigs",10103,"Animal Products",1,32148734.000000004,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,9788550,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,9261278,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,4050108,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,21923750,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,146705467,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,63164048,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,1294805,2023
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,369199,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,12316118,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,735865970.9999999,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,548718,2023
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,3036061,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,2116921,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,249243.00000000003,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,7474916,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2528671321,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,764184881,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,58019114,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,1592790708,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,80660268,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,85746008,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,25225539,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,47658490,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,71138852,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,16045311,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,5218470,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,97001364,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,26113659,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,1456015,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,5971919,2023
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,21848,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,18932,2023
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,34481,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,8296415,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,31768736,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,30803.000000000004,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,23108420,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,261086,2023
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,4290543,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,40697814,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,442638,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,4059958,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,402894,2023
