"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,286003693,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,425418126,2023
"Live animals",101,"Pigs",10103,"Animal Products",1,30293475,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,4151687,2023
"Live animals",101,"Poultry",10105,"Animal Products",1,328972896,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,133724805,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,4327071736,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,4165785970,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,5991763312,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,18744822,2023
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,28656,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,2088941123,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,4871743816,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,23808062,2023
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,42846061,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,295143847,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,65930082,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,177935798,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,1911801731,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,1297846286,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,38187631,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,995946278,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,381972570,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,19812742,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,157545341,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,1857123207,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,130025432,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,774396846,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,178894695,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,2274211329,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,494337029,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,132016139,2023
